Symbol,Sector,
AA,Alcoa,Materials
AAL,American Airlines Group, Industrials
AAON,AAON,Industrials
ACHC,Acadia Healthcare,Health Care
ACM,AECOM,Industrials
ADC,Agree Realty,Real Estate
AFG,American Financial Group,Financials
AGCO,AGCO,Industrials
AIT,Applied Industrial Technologies,Industrials
ALE,ALLETE,Utilities
ALGM,Allegro MicroSystems,Information Technology
ALLY,Ally Financial,Financials
ALTM,Arcadium Lithium,Materials
ALTR,Altair Engineering,Information Technology
ALV,Autoliv,Consumer Discretionary
AM,Antero Midstream,Energy
AMED,Amedisys,Health Care
AMG,Affiliated Managers Group,Financials
AMH,American Homes 4 Rent,Real Estate
AMKR,Amkor Technology,Information Technology
AN,AutoNation,Consumer Discretionary
ANF,Abercrombie & Fitch,Consumer Discretionary
APPF,AppFolio,Information Technology
AR,Antero Resources,Energy
ARMK,Aramark,Consumer Discretionary
ARW,Arrow Electronics,Information Technology
ARWR,Arrowhead Pharmaceuticals,Health Care
ASB,Associated Bank,Financials
ASGN,ASGN Inc.,Information Technology
ASH,Ashland Global,Materials
ATR,AptarGroup,Materials
AVNT,Avient,Materials
AVT,Avnet,Information Technology
AVTR,Avantor,Health Care
AXTA,Axalta,Materials
AYI,Acuity Brands,Industrials
AZPN,Aspen Technology,Information Technology
AZTA,Azenta,Health Care
BC,Brunswick,Consumer Discretionary
BCO,Brink's,Industrials
BDC,Belden,Information Technology
BERY,Berry Global,Materials
BHF,Brighthouse Financial,Financials
BIO,Bio-Rad Laboratories,Health Care
BJ,BJ's Wholesale Club,Consumer Staples
BKH,Black Hills Corporation,Utilities
BLD,TopBuild Corp.,Consumer Discretionary
BLKB,Blackbaud,Information Technology
BMRN,BioMarin Pharmaceutical,Health Care
BRBR,BellRing Brands,Consumer Staples
BRKR,Bruker,Health Care
BRX,Brixmor Property Group,Real Estate
BURL,Burlington,Consumer Discretionary
BWXT,BWX Technologies,Industrials
BYD,Boyd Gaming,Consumer Discretionary
CACI,CACI International,Industrials
CADE,Cadence Bank,Financials
CAR,Avis Budget Group,Industrials
CASY,Casey's General Stores,Consumer Staples
CBSH,Commerce Bancshares,Financials
CBT,Cabot Corp,Materials
CC,Chemours,Materials
CCK,Crown Holdings,Materials
CDP,COPT Defense Properties,Real Estate
CELH,Celsius Holdings,Consumer Staples
CFR,Frost Bank,Financials
CG,Carlyle Group,Financials
CGNX,Cognex,Information Technology
CHDN,Churchill Downs Inc.,Consumer Discretionary
CHE,Chemed Corp.,Health Care
CHH,Choice Hotels,Consumer Discretionary
CHRD,Chord Energy,Energy
CHX,ChampionX,Energy
CIEN,Ciena,Information Technology
CIVI,Civitas Resources,Energy
CLF,Cleveland-Cliffs,Materials
CLH,Clean Harbors,Industrials
CMC,Commercial Metals,Materials
CNH,CNH Industrial,Industrials
CNM,Core & Main,Industrials
CNO,CNO Financial Group,Financials
CNX,CNX Resources,Energy
CNXC,Concentrix,Industrials
COHR,Coherent Corp.,Information Technology
COKE,Coca-Cola Consolidated,Consumer Staples
COLB,Columbia Banking System,Financials
COLM,Columbia Sportswear,Consumer Discretionary
COTY,Coty,Consumer Staples
CPRI,Capri Holdings,Consumer Discretionary
CR,Crane,Industrials
CRI,Carter's,Consumer Discretionary
CROX,Crocs,Consumer Discretionary
CRUS,Cirrus Logic,Information Technology
CSL,Carlisle Companies,Industrials
CUBE,CubeSmart,Real Estate
CUZ,Cousins Properties,Real Estate
CVLT,CommVault Systems,Information Technology
CW,Curtiss-Wright,Industrials
CXT,Crane NXT,Information Technology
CYTK,Cytokinetics,Health Care
DAR,Darling Ingredients,Consumer Staples
DBX,Dropbox,Information Technology
DCI,Donaldson,Industrials
DINO,HF Sinclair,Energy
DKS,Dick's Sporting Goods,Consumer Discretionary
DLB,Dolby,Information Technology
DOCS,Doximity,Health Care
DOCU,Docusign,Information Technology
DT,Dynatrace,Information Technology
DTM,DT Midstream,Energy
DUOL,Duolingo,Consumer Discretionary
EEFT,Euronet Worldwide,Financials
EGP,EastGroup Properties,Real Estate
EHC,Encompass Health,Health Care
ELF,e.l.f. Beauty,Consumer Staples
ELS,Equity Lifestyle Properties,Real Estate
EME,Emcor,Industrials
ENOV,Enovis,Health Care
ENS,EnerSys,Industrials
ENSG,Ensign Group,Health Care
EPR,EPR Properties,Real Estate
EQH,Equitable Holdings,Financials
ESAB,ESAB,Industrials
ESNT,Essent Group Ltd.,Financials
EVR,Evercore,Financials
EWBC,East West Bancorp,Financials
EXE,Expand Energy,Energy
EXEL,Exelixis,Health Care
EXLS,EXL Service,Industrials
EXP,Eagle Materials,Materials
EXPO,Exponent Inc.,Industrials
FAF,First American Financial Corporation,Financials
FBIN,Fortune Brands Innovations,Industrials
FCFS,FirstCash,Financials
FCN,FTI Consulting,Industrials
FFIN,First Financial Bankshares,Financials
FHI,Federated Hermes,Financials
FHN,First Horizon,Financials
FIVE,Five Below,Consumer Discretionary
FIX,Comfort Systems USA,Industrials
FLO,Flowers Foods,Consumer Staples
FLR,Fluor,Industrials
FLS,Flowserve,Industrials
FN,Fabrinet,Information Technology
FNB,FNB Corporation,Financials
FND,Floor & Decor,Consumer Discretionary
FNF,Fidelity National Financial,Financials
FR,First Industrial Realty Trust,Real Estate
FYBR,Frontier Communications,Communication Services
G,Genpact,Industrials
GAP,Gap Inc.,Consumer Discretionary
GATX,GATX,Industrials
GBCI,Glacier Bancorp,Financials
GEF,Greif Inc.,Materials
GGG,Graco,Industrials
GHC,Graham Holdings,Consumer Discretionary
