Symbol,Sector,
AAON,AAON,Industrials
ACHC,Acadia Healthcare,Health Care
ADC,Agree Realty,Real Estate
AFG,American Financial Group,Financials
AGCO,AGCO,Industrials
AIT,Applied Industrial Technologies,Industrials
ALE,ALLETE,Utilities
ALV,Autoliv,Consumer Discretionary
AMED,Amedisys,Health Care
AMG,Affiliated Managers Group,Financials
AMKR,Amkor Technology,Information Technology
AN,AutoNation,Consumer Discretionary
ANF,Abercrombie & Fitch,Consumer Discretionary
ARW,Arrow Electronics,Information Technology
ARWR,Arrowhead Pharmaceuticals,Health Care
ASB,Associated Bank,Financials
ASGN,ASGN Inc.,Information Technology
ASH,Ashland Global,Materials
ATR,AptarGroup,Materials
AVNT,Avient,Materials
AVT,Avnet,Information Technology
AZPN,Aspen Technology,Information Technology
AZTA,Azenta,Health Care
BC,Brunswick,Consumer Discretionary
BCO,Brink's,Industrials
BDC,Belden,Information Technology
BIO,Bio-Rad Laboratories,Health Care
BKH,Black Hills Corporation,Utilities
BMRN,BioMarin Pharmaceutical,Health Care
BYD,Boyd Gaming,Consumer Discretionary
CACI,CACI International,Industrials
CADE,Cadence Bank,Financials
CAR,Avis Budget Group,Industrials
CASY,Casey's General Stores,Consumer Staples
CBSH,Commerce Bancshares,Financials
CBT,Cabot Corp,Materials
CCK,Crown Holdings,Materials
CDP,COPT Defense Properties,Real Estate
CFR,Frost Bank,Financials
CGNX,Cognex,Information Technology
CHDN,Churchill Downs Inc.,Consumer Discretionary
CHE,Chemed Corp.,Health Care
CHH,Choice Hotels,Consumer Discretionary
CIEN,Ciena,Information Technology
CLF,Cleveland-Cliffs,Materials
CLH,Clean Harbors,Industrials
CMC,Commercial Metals,Materials
CNX,CNX Resources,Energy
COHR,Coherent Corp.,Information Technology
COKE,Coca-Cola Consolidated,Consumer Staples
COLB,Columbia Banking System,Financials
COLM,Columbia Sportswear,Consumer Discretionary
CRUS,Cirrus Logic,Information Technology
CSL,Carlisle Companies,Industrials
CUZ,Cousins Properties,Real Estate
CW,Curtiss-Wright,Industrials
CXT,Crane NXT,Information Technology
DAR,Darling Ingredients,Consumer Staples
DCI,Donaldson,Industrials
DINO,HF Sinclair,Energy
EEFT,Euronet Worldwide,Financials
EGP,EastGroup Properties,Real Estate
ELS,Equity Lifestyle Properties,Real Estate
EME,Emcor,Industrials
EPR,EPR Properties,Real Estate
EWBC,East West Bancorp,Financials
EXP,Eagle Materials,Materials
EXPO,Exponent Inc.,Industrials
FCFS,FirstCash,Financials
FCN,FTI Consulting,Industrials
